i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,a3,0.48717948717948717,0.1623931623931624,0.27350427350427353,0.05128205128205128,0.02564102564102564,0.0,0.0
1,abearsnightout,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.0,0.0
2,ablindlegend,0.25,0.0,0.5,0.0,0.25,0.0,0.0
3,aboyandhisblob,0.348993288590604,0.26174496644295303,0.15436241610738255,0.020134228187919462,0.1342281879194631,0.020134228187919462,0.06040268456375839
4,achangeintheweather,0.125,0.25,0.125,0.125,0.25,0.0,0.125
5,adarkroom,0.2558139534883721,0.2558139534883721,0.23255813953488372,0.06976744186046512,0.16279069767441862,0.0,0.023255813953488372
6,afkarena,0.2413793103448276,0.20689655172413793,0.13793103448275862,0.1206896551724138,0.27586206896551724,0.0,0.017241379310344827
7,afinalunity,0.30927835051546393,0.29896907216494845,0.24742268041237114,0.041237113402061855,0.061855670103092786,0.010309278350515464,0.030927835051546393
8,agameofconcentration,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
9,agameofthronesgenesis,0.3181818181818182,0.045454545454545456,0.22727272727272727,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.0
10,agirladrift,0.3783783783783784,0.21621621621621623,0.10810810810810811,0.05405405405405406,0.13513513513513514,0.05405405405405406,0.05405405405405406
11,ahatintime,0.3829787234042553,0.27393617021276595,0.19148936170212766,0.031914893617021274,0.0851063829787234,0.013297872340425532,0.02127659574468085
12,ahintofatint,0.3,0.2,0.2,0.05,0.2,0.0,0.05
13,ahomefaraway,0.421875,0.171875,0.140625,0.03125,0.21875,0.0,0.015625
14,ahouseofmanydoors,0.35294117647058826,0.2773109243697479,0.19327731092436976,0.07563025210084033,0.08403361344537816,0.0,0.01680672268907563
15,aidungeon,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,aidungeon2,0.3472222222222222,0.2222222222222222,0.22916666666666666,0.041666666666666664,0.09027777777777778,0.0,0.06944444444444445
17,aithesomniumfiles,0.4296875,0.17578125,0.265625,0.06640625,0.0234375,0.00390625,0.03515625
18,ajugglerstale,0.6,0.2,0.0,0.0,0.2,0.0,0.0
19,akingstalefinalfantasyxv,0.18518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.5925925925925926,0.0,0.0
20,alegionarystale,0.3157894736842105,0.34210526315789475,0.2631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.0
21,amindforevervoyaging,0.3950617283950617,0.2839506172839506,0.18518518518518517,0.04938271604938271,0.037037037037037035,0.0,0.04938271604938271
22,anewbeginning,0.28125,0.125,0.40625,0.0625,0.0625,0.0,0.0625
23,anightmareonelmstreetnes,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.0
24,anightmareonelmstreetpc,0.1875,0.25,0.125,0.0625,0.25,0.125,0.0
25,anoblecircle,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.10714285714285714
26,anormallostphone,0.6,0.1,0.05,0.1,0.15,0.0,0.0
27,aplaguetaleinnocence,0.37058823529411766,0.23529411764705882,0.27647058823529413,0.041176470588235294,0.041176470588235294,0.0058823529411764705,0.029411764705882353
28,aprestigetreemodaboutmerging,0.1,0.1,0.1,0.0,0.3,0.1,0.3
29,arksurvivalevolved,0.3508771929824561,0.3333333333333333,0.09210526315789473,0.02631578947368421,0.14035087719298245,0.013157894736842105,0.043859649122807015
30,arms,0.3333333333333333,0.2653061224489796,0.10204081632653061,0.04081632653061224,0.22448979591836735,0.006802721088435374,0.027210884353741496
31,arobotnamedfight,0.3125,0.3125,0.125,0.0,0.25,0.0,0.0
32,aroseinthetwilight,0.4117647058823529,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.0,0.0
33,asecondface,0.125,0.4166666666666667,0.20833333333333334,0.125,0.08333333333333333,0.0,0.041666666666666664
34,aseriesofunfortunateevents2004,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.038461538461538464,0.23076923076923078,0.07692307692307693,0.0
35,ashorthike,0.4583333333333333,0.375,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0
