Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
1063/0.012077245185837927,318/0.008818168593457184,263/0.01937437068773272,49/0.03956263594144965,865/0.053869511178238225,319/0.14863196873071385,2021/0.06434168690383797
2435/0.009211631862614506,995/0.008300459520284784,2559/0.017259205698105812,1621/0.03847510434424784,500/0.030608391938452825,764/0.13443735856819586,985/0.03202062939689057
89/0.0090852579735093,207/0.008219166360034572,439/0.01517107157096615,1704/0.0355064370113456,586/0.021042777803999307,525/0.09421929644106151,2633/0.02736399369100969
2143/0.0076507435566394106,1605/0.005938679285647051,80/0.014785881780522913,976/0.03368408676738581,794/0.02045279337958811,780/0.07004731536720839,315/0.026788173146734096
111/0.006479223449529001,1880/0.005840271775870478,1214/0.014677758330573934,362/0.021162777026629827,1071/0.020059470429980648,1345/0.06521291915243776,172/0.026412638009163058
1126/0.005843938493486621,1030/0.005583556532975073,548/0.013096452875070112,2311/0.020075245429428016,1264/0.019202026399836376,1217/0.04947541658095042,1784/0.02561149638234484
2003/0.005837107472453908,157/0.005566442183448712,649/0.01275180937835774,124/0.01992828170007642,94/0.018376048205660703,1346/0.041246657066447236,1165/0.024835390431364696
1762/0.0057278111359304875,879/0.005425248799856239,1144/0.01219091898174741,690/0.019663746987243547,337/0.017951259420084645,2341/0.040835219090722075,2363/0.02466014070049821
1448/0.005420415189458369,1815/0.005403855862948289,427/0.012089553247420242,420/0.019428605020280994,98/0.01659036201444282,2107/0.03702941781526435,2653/0.02268232230929074
2587/0.005355520489647588,1975/0.0051899264938687845,378/0.011501631988322667,2535/0.019340426782670037,2301/0.016063309261968816,947/0.03301789755194404,78/0.022181608792529353
1170/0.004867102485808554,312/0.005035897348131541,903/0.010744767838679812,1423/0.01634236670389748,1384/0.014379887037648873,673/0.03168072413083728,342/0.022081466089177076
259/0.004822700849095914,363/0.004946047013118149,1860/0.01067043296683989,405/0.015607548057139499,267/0.014285489529743081,695/0.0294178152643489,1997/0.021180181759006586
1660/0.004754390638768776,351/0.004881868202394298,1117/0.00988653795470979,545/0.01551936981952854,1988/0.01364830635137899,1154/0.024480559555646986,774/0.019552862829532083
1341/0.004692911449474353,381/0.004804853629525676,1868/0.009724352779786321,963/0.013902768796660985,115/0.013160585893865736,1252/0.023863402592059248,114/0.01935257742282753
617/0.004556291028820078,1535/0.004492516750669599,271/0.009541894457997418,1426/0.013197342895773323,853/0.012759396485266122,1257/0.02273194815881506,21/0.01835115038930476
1941/0.004228402019249817,671/0.004355601954458716,698/0.009481075017401117,881/0.013167950149903004,681/0.012389672912635107,914/0.02211479119522732,578/0.018225972010114413
