i_doc,doc,Topic 1,Topic 2
0,a3,0.9487179487179487,0.05128205128205128
1,abearsnightout,0.8823529411764706,0.11764705882352941
2,ablindlegend,1.0,0.0
3,aboyandhisblob,0.8993288590604027,0.10067114093959731
4,achangeintheweather,0.75,0.25
5,adarkroom,0.9069767441860465,0.09302325581395349
6,afkarena,0.8620689655172413,0.13793103448275862
7,afinalunity,0.9175257731958762,0.08247422680412371
8,agameofconcentration,0.6666666666666666,0.3333333333333333
9,agameofthronesgenesis,0.7727272727272727,0.22727272727272727
10,agirladrift,0.8378378378378378,0.16216216216216217
11,ahatintime,0.9335106382978723,0.06648936170212766
12,ahintofatint,0.9,0.1
13,ahomefaraway,0.953125,0.046875
14,ahouseofmanydoors,0.907563025210084,0.09243697478991597
15,aidungeon,1.0,0.0
16,aidungeon2,0.8888888888888888,0.1111111111111111
17,aithesomniumfiles,0.89453125,0.10546875
18,ajugglerstale,1.0,0.0
19,akingstalefinalfantasyxv,0.9629629629629629,0.037037037037037035
20,alegionarystale,0.9473684210526315,0.05263157894736842
21,amindforevervoyaging,0.9012345679012346,0.09876543209876543
22,anewbeginning,0.875,0.125
23,anightmareonelmstreetnes,0.8846153846153846,0.11538461538461539
24,anightmareonelmstreetpc,0.8125,0.1875
25,anoblecircle,0.7857142857142857,0.21428571428571427
26,anormallostphone,0.9,0.1
27,aplaguetaleinnocence,0.9235294117647059,0.07647058823529412
28,aprestigetreemodaboutmerging,0.6,0.4
29,arksurvivalevolved,0.9166666666666666,0.08333333333333333
30,arms,0.9251700680272109,0.07482993197278912
31,arobotnamedfight,1.0,0.0
32,aroseinthetwilight,0.9411764705882353,0.058823529411764705
33,asecondface,0.8333333333333334,0.16666666666666666
34,aseriesofunfortunateevents2004,0.8846153846153846,0.11538461538461539
35,ashorthike,0.9583333333333334,0.041666666666666664
36,asmallfavor,0.7857142857142857,0.21428571428571427
37,asmalltalkatthebackofbeyond,0.8,0.2
38,aspacefortheunbound,1.0,0.0
39,astoryaboutmyuncle,0.868421052631579,0.13157894736842105
40,astudyinsteampunk,0.8933333333333333,0.10666666666666667
41,ataleoftwokingdoms,0.8877551020408163,0.11224489795918367
42,atechcybernetic,0.9090909090909091,0.09090909090909091
43,atimelessstory,0.95,0.05
44,avalleywithoutwind,0.8833333333333333,0.11666666666666667
45,avalleywithoutwind2,0.9393939393939394,0.06060606060606061
46,avampyrestory,0.8349514563106796,0.1650485436893204
47,averylongropetothetopofthesky,0.9423076923076923,0.057692307692307696
48,avirusnamedtom,0.8333333333333334,0.16666666666666666
49,awalkinthewoods,0.8571428571428571,0.14285714285714285
50,awayout,0.9183673469387755,0.08163265306122448
51,awaytobedead,0.6923076923076923,0.3076923076923077
52,awitchstale,0.9204545454545454,0.07954545454545454
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,0.9393939393939394,0.06060606060606061
54,abadox,0.9069767441860465,0.09302325581395349
55,abalaburn,0.9166666666666666,0.08333333333333333
56,abandonship,0.9423076923076923,0.057692307692307696
57,aberoth,0.9130434782608695,0.08695652173913043
58,abmneshitheprophecy,0.88,0.12
59,abominationthenemesisproject,0.6944444444444444,0.3055555555555556
60,absolutepinball,0.7142857142857143,0.2857142857142857
61,absolver,0.9512195121951219,0.04878048780487805
62,abuse,0.8135593220338984,0.1864406779661017
63,abyssodyssey,0.9047619047619048,0.09523809523809523
64,abzu,1.0,0.0
