Topic 1,Topic 2
865/0.00854286088534877,2021/0.03070966816829376
500/0.004854011639148958,319/0.017266720040149605
1063/0.004411150130051584,49/0.016083740604872918
263/0.003576574497414562,1621/0.01564161697754729
2435/0.0033644999719313127,764/0.015617718403097254
586/0.0033370550333393628,985/0.015283138360796778
89/0.0033183425752084878,1704/0.01443473896782057
794/0.0032434927426849883,976/0.013693883159869514
2559/0.0031861078710836385,2633/0.013060570936943612
1071/0.0031811178822487383,315/0.01278573733076822
1264/0.003045140686497714,172/0.012606498022392965
94/0.0029141534795815893,1784/0.01222412083119242
337/0.0028467886303104395,1165/0.01185369292721689
439/0.002800631233587615,2363/0.011770047916641772
2143/0.00279439374754399,525/0.010945547098115597
80/0.00272952389269029,2653/0.010826054225865427
1214/0.00270956393735069,78/0.010587068481365087
98/0.0026309716132010153,342/0.010539271332465018
318/0.0025710917471822156,1997/0.010109096992364406
2301/0.002547389300216441,774/0.0093323933227383
995/0.0024201445849264913,114/0.009236799024938163
548/0.0024176495905090414,21/0.008758827535937482
207/0.002396442137960716,578/0.008699081099812395
111/0.0023665022049513163,362/0.00860348680201226
649/0.0023540272328640664,470/0.008472044642537072
1384/0.002280424897549292,433/0.00840034891918697
267/0.0022654549310445918,1519/0.008292805334161817
1144/0.002250484964539892,2311/0.00816136317468663
427/0.002231772506409017,780/0.008137464600236595
1988/0.0021644076571378673,124/0.008101616738561544
1126/0.0021344677241284674,690/0.007994073153536391
2003/0.002131972729711017,420/0.007898478855736255
378/0.0021232402492499425,2535/0.007862630994061204
1762/0.0020920528190318173,1345/0.007575848100660795
115/0.0020870628301969175,1657/0.007468304515635642
853/0.0020234404725519425,417/0.0071695723350102165
903/0.0019835205618727427,395/0.0071695723350102165
1448/0.001979778070246568,1450/0.006882789441609808
1860/0.001969798092576768,710/0.006655752984334485
681/0.0019648081037418677,1423/0.006643803697109468
2587/0.001956075623280793,669/0.006560158686534348
498/0.0018400583828693683,405/0.006345071516484042
1117/0.0018250884163646683,2115/0.006321172942034008
637/0.0018163559359035935,545/0.006309223654808991
1868/0.0017951484833552685,850/0.00627337579313394
1170/0.0017776835224331186,2233/0.006225578644233872
271/0.0017614660587196935,284/0.006201680069783838
259/0.0017614660587196935,1399/0.006177781495333804
698/0.0017502385838411687,772/0.005890998601933394
754/0.0017477435894237188,1217/0.00574760715523319
1660/0.0017365161145451937,1557/0.005687860719108105
1605/0.0017315261257102937,963/0.005652012857433054
2254/0.0017215461480404937,2028/0.0054608242618327816
1852/0.0017140611647881439,134/0.005389128538482679
1341/0.0017140611647881439,1426/0.005365229964032645
1880/0.0017028336899096188,2312/0.005353280676807628
617/0.0016641612764391439,881/0.005353280676807628
256/0.0016454488183082691,341/0.005329382102357594
31/0.001641706326682094,244/0.005257686379007492
1030/0.001627983857386119,455/0.005233787804557458
198/0.0016254888629686692,52/0.005126244219532305
157/0.001622993868551219,1748/0.005126244219532305
386/0.0016217463713424942,275/0.005078447070632237
150/0.0016117663936726942,1147/0.00506649778340722
2014/0.0016067764048377942,1376/0.005030649921732169
879/0.0015818264606632943,2218/0.005030649921732169
1815/0.0015755889746196692,1923/0.005006751347282135
957/0.0015730939802022193,162/0.004970903485607084
1562/0.0015518865276538945,1282/0.00494700491115705
1941/0.0015444015444015444,1346/0.004791664177231828
278/0.0015406590527753694,2341/0.00474386702833176
1081/0.0015394115555666444,1558/0.00474386702833176
756/0.0015231940918532195,1587/0.00474386702833176
1975/0.0015132141141834196,1479/0.004696069879431692
1310/0.0015132141141834196,2670/0.004660222017756641
1744/0.0015119666169746944,107/0.004421236273256301
559/0.0015032341365136196,1927/0.004397337698806267
930/0.0014920066616350945,1303/0.004397337698806267
274/0.0014870166728001945,2107/0.00430174340100613
