,year,total_works,topic_1,topic_2
0,1930.0,1,0.8214285714285714,0.1785714285714285
1,1931.0,1,0.6666666666666666,0.3333333333333333
2,1933.0,1,0.7037037037037037,0.2962962962962963
3,1934.0,1,0.7808219178082192,0.2191780821917808
4,1939.0,1,0.75,0.25
5,1943.0,1,0.7241379310344828,0.2758620689655172
6,1947.0,2,0.6532567049808429,0.34674329501915707
7,1948.0,1,0.7111111111111111,0.2888888888888888
8,1949.0,2,0.79047976011994,0.20952023988005997
9,1950.0,9,0.6922382799213991,0.30776172007860075
10,1951.0,8,0.6768451642443578,0.32315483575564224
11,1952.0,10,0.8112227265607338,0.18877727343926612
12,1953.0,4,0.6872727272727273,0.31272727272727274
13,1954.0,8,0.836038237944408,0.16396176205559193
14,1955.0,12,0.8211481862191916,0.1788518137808083
15,1956.0,10,0.7057962444623277,0.29420375553767253
16,1957.0,18,0.799081805960015,0.20091819403998498
17,1958.0,20,0.743572339700477,0.2564276602995232
18,1959.0,20,0.8038625357149763,0.1961374642850237
19,1960.0,15,0.8085818915232363,0.19141810847676358
20,1961.0,27,0.7448154608482239,0.25518453915177597
21,1962.0,18,0.7769489325864609,0.22305106741353903
22,1963.0,17,0.8016971886178327,0.19830281138216735
23,1964.0,31,0.7563630389922836,0.2436369610077162
24,1965.0,40,0.7573798421830035,0.24262015781699642
25,1966.0,42,0.7756064437551505,0.22439355624484966
26,1967.0,34,0.7483445931000486,0.2516554068999515
27,1968.0,29,0.8004407419988259,0.19955925800117413
28,1969.0,35,0.800096458075453,0.19990354192454665
29,1970.0,29,0.7094259446422183,0.29057405535778186
30,1971.0,41,0.7459261319438166,0.25407386805618337
31,1972.0,59,0.7675010489318229,0.23249895106817725
32,1973.0,51,0.7654304584635736,0.23456954153642628
33,1974.0,46,0.7680273992299993,0.23197260077000068
34,1975.0,50,0.7552461755301522,0.24475382446984792
35,1976.0,58,0.7840298472086871,0.21597015279131276
36,1977.0,50,0.7586656357931117,0.2413343642068882
37,1978.0,51,0.7915389556088268,0.20846104439117333
38,1979.0,62,0.7628338569556384,0.2371661430443615
39,1980.0,44,0.7923455679691845,0.2076544320308157
40,1981.0,61,0.7492400739100142,0.25075992608998565
41,1982.0,56,0.7816066997384128,0.21839330026158715
42,1983.0,84,0.7717982279679031,0.2282017720320965
43,1984.0,76,0.7639902745637208,0.2360097254362789
44,1985.0,83,0.769487638492328,0.23051236150767193
45,1986.0,76,0.7695253436566584,0.23047465634334124
46,1987.0,98,0.7920305983871379,0.20796940161286193
47,1988.0,75,0.7721986459785999,0.22780135402139975
48,1989.0,90,0.7955610371359588,0.2044389628640411
49,1990.0,93,0.7941812719874011,0.2058187280125989
50,1991.0,101,0.7925553199256722,0.20744468007432787
51,1992.0,98,0.8009470594320031,0.19905294056799686
52,1993.0,123,0.7836494232770491,0.216350576722951
53,1994.0,127,0.7907406308922668,0.2092593691077334
54,1995.0,134,0.8121891968418792,0.18781080315812074
55,1996.0,154,0.8000484281492991,0.1999515718507008
56,1997.0,158,0.7993238611827825,0.20067613881721702
57,1998.0,172,0.7742564987063252,0.22574350129367488
58,1999.0,205,0.790672119122677,0.20932788087732265
59,2000.0,173,0.804392960319342,0.19560703968065798
60,2001.0,197,0.8115093251610226,0.18849067483897744
61,2002.0,204,0.8104059973023472,0.18959400269765328
62,2003.0,215,0.8089522953057731,0.1910477046942265
63,2004.0,224,0.8110031458464776,0.18899685415352238
64,2005.0,271,0.8084966680985041,0.19150333190149577
65,2006.0,276,0.7901582868610664,0.20984171313893396
66,2007.0,286,0.8134822615496152,0.18651773845038486
67,2008.0,275,0.8008225184138756,0.1991774815861243
68,2009.0,307,0.8100574854855491,0.18994251451445102
69,2010.0,295,0.8201461379522281,0.17985386204777165
70,2011.0,363,0.8166110865082323,0.18338891349176872
71,2012.0,320,0.8159720238282249,0.18402797617177524
72,2013.0,343,0.823248567099032,0.17675143290096784
73,2014.0,327,0.8144674131407041,0.185532586859296
74,2015.0,354,0.8223421451624158,0.17765785483758378
75,2016.0,321,0.809509862428851,0.1904901375711495
76,2017.0,355,0.8082809259670434,0.1917190740329565
77,2018.0,328,0.8115307815363096,0.1884692184636905
78,2019.0,317,0.8102695865421377,0.1897304134578627
79,2020.0,317,0.8038905635569636,0.19610943644303677
80,2021.0,274,0.7845093437393345,0.21549065626066513
