,year,total_works,topic_1,topic_2
0,1971.0,1,1.0,0.0
1,1974.0,1,1.0,0.0
2,1975.0,2,1.0,0.0
3,1976.0,3,1.0,0.0
4,1977.0,6,1.0,0.0
5,1978.0,3,1.0,0.0
6,1979.0,3,1.0,0.0
7,1980.0,7,1.0,0.0
8,1981.0,19,1.0,0.0
9,1982.0,38,1.0,0.0
10,1983.0,28,1.0,0.0
11,1984.0,25,0.99,0.01
12,1985.0,26,0.9945054945054945,0.005494505494505492
13,1986.0,30,1.0,0.0
14,1987.0,57,0.9939849624060151,0.006015037593984962
15,1988.0,37,1.0,0.0
16,1989.0,63,1.0,0.0
17,1990.0,82,0.9979674796747968,0.0020325203252032514
18,1991.0,81,0.9958847736625515,0.004115226337448558
19,1992.0,104,0.9956730769230769,0.004326923076923077
20,1993.0,137,0.9985401459854015,0.0014598540145985403
21,1994.0,109,0.9961773700305812,0.0038226299694189597
22,1995.0,123,0.997289972899729,0.002710027100271002
23,1996.0,117,1.0,0.0
24,1997.0,113,0.9957859249894647,0.004214075010535187
25,1998.0,108,0.9969135802469135,0.0030864197530864187
26,1999.0,131,0.9987277353689566,0.0012722646310432564
27,2000.0,118,1.0,0.0
28,2001.0,127,0.9955380577427821,0.004461942257217848
29,2002.0,115,0.9956521739130435,0.00434782608695652
30,2003.0,145,0.996551724137931,0.003448275862068964
31,2004.0,146,0.9977168949771689,0.0022831050228310492
32,2005.0,145,0.9907389162561577,0.00926108374384236
33,2006.0,144,0.9988425925925927,0.001157407407407407
34,2007.0,159,0.9979035639412999,0.002096436058700209
35,2008.0,172,0.9967054263565892,0.0032945736434108527
36,2009.0,241,0.9986168741355465,0.0013831258644536647
37,2010.0,227,0.9963289280469898,0.0036710719530102776
38,2011.0,229,0.9943959243085884,0.005604075691411935
39,2012.0,257,0.9974059662775617,0.0025940337224383907
40,2013.0,270,0.9957671957671959,0.004232804232804231
41,2014.0,317,0.9971083070452154,0.002891692954784437
42,2015.0,392,0.9970238095238094,0.002976190476190475
43,2016.0,435,0.9962616310892172,0.003738368910782703
44,2017.0,447,0.9965697240865026,0.0034302759134973893
45,2018.0,404,0.9967586044318717,0.0032413955681282404
46,2019.0,362,0.994909234411997,0.0050907655880031545
47,2020.0,283,0.9983173481406696,0.001682651859330304
48,2021.0,254,0.9993438320209974,0.0006561679790026244
