,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
0,US,4450,0.13449436817673469,0.055639363269400874,0.20380603441831094,0.1400292877323831,0.09202147657814376,0.02704713295635524,0.021362524543681732,0.1889343878658239,0.007932785226821311,0.059058035453997466,0.020197994170037967,0.03219088370833531,0.01728572589997371
1,JP,1955,0.11495693734955516,0.11315244263608654,0.17560122277493825,0.1188176127494866,0.14971193950049236,0.02976940962198647,0.05126293905404143,0.09433684586869251,0.0944271871477176,0.01965398611002819,0.0226573732430082,0.014382979399017216,0.0012691245449497229
2,GB,1445,0.13867520746938156,0.0501046657334653,0.20942737472315948,0.1339653930886945,0.0720528276837896,0.02667530218470011,0.014613474039225338,0.21586319923369227,0.00594964196464975,0.05682144465544723,0.027188472473464207,0.03248539550377235,0.016177601246558614
3,CA,947,0.11669253747344807,0.06143553708382226,0.18451652461494714,0.152169997039499,0.1173082476493999,0.025287377602727267,0.027286481572982926,0.13968142152138632,0.010568203782675041,0.04713522061801498,0.026589067429451694,0.060023865533862006,0.031305518077783874
4,FR,380,0.12042726966772166,0.07021210189655734,0.1709391543925404,0.1536265267642144,0.12797795554810168,0.026708277188223824,0.0318783944538518,0.11742935179045705,0.013656476255652474,0.031684178023372436,0.026804964037371846,0.08332637301034904,0.025328976971585735
5,KR,288,0.15012290638110787,0.07706607769290702,0.23428709335515205,0.12296531357963107,0.1091857834969471,0.029574337667295798,0.023316661974373223,0.13837150789311653,0.013425820467116692,0.03029965158668934,0.017388014746932128,0.021069637028834447,0.03292719412989659
6,AU,286,0.12798769038074329,0.05351593800866278,0.2016947556303052,0.13280496897017227,0.07361316595687403,0.029980323558219165,0.01611741467021924,0.22081814512454842,0.008842670045888576,0.0603544599193574,0.02336390679087499,0.035546858000228984,0.015359702943905276
7,DE,159,0.15148907471859693,0.05428176349005229,0.17093019213036761,0.12242197717071006,0.0997659301749896,0.03654850133846582,0.023577379288506502,0.14643802376665196,0.011242090478740563,0.03529530562449649,0.019697503461765388,0.042991158632912196,0.0853210997237441
8,CN,145,0.13183061093412632,0.06516611708971347,0.17591391999110031,0.10659807354518715,0.0983430941409377,0.07238883921369302,0.018197118934306804,0.17634527299267388,0.02668640774674513,0.020578110701392708,0.01957040137783791,0.05990675427822097,0.02847527905406395
9,ES,118,0.14112993217034395,0.068382890143106,0.1976704772636665,0.14082874256147673,0.1019817989025191,0.028509211194765276,0.025617604530746848,0.13501473798982733,0.01130636026154097,0.04828955351292836,0.01616038481818259,0.05447576593476216,0.030632540716133735
