,country,total_works,topic_1,topic_2
0,US,4450,0.8149249180408026,0.18507508195920225
1,JP,1955,0.7665770008792502,0.23342299912074838
2,GB,1445,0.8200886679321846,0.17991133206781765
3,CA,947,0.7718042653825017,0.22819573461749815
4,FR,380,0.7606123600595924,0.23938763994040746
5,KR,288,0.8319986823988613,0.16800131760113834
6,AU,286,0.810434664071306,0.18956533592869396
7,DE,159,0.7453269614513682,0.25467303854863116
8,CN,145,0.7541970886937392,0.2458029113062607
9,ES,118,0.7850085790309395,0.2149914209690601
