,country,total_works,topic_1,topic_2,topic_3
0,US,4450,0.15075393472332707,0.7310149916837886,0.11823107359288292
1,JP,1955,0.368054414167439,0.6041808996081375,0.027764686224424854
2,GB,1445,0.12843778825163102,0.7551707845356015,0.11639142721276884
3,CA,947,0.1661893763171408,0.6878903166776841,0.14592030700517564
4,FR,380,0.19160469497920474,0.6572577844195256,0.1511375206012693
5,KR,288,0.1846280557081933,0.7160296829703019,0.09934226132150475
6,AU,286,0.13394961371367334,0.7479730560119332,0.11807733027439314
7,DE,159,0.18083716397643718,0.7035224790429402,0.11564035698062285
8,CN,145,0.19702709113887856,0.584206526717614,0.2187663821435072
9,ES,118,0.1741360725937191,0.6939858686076245,0.13187805879865647
