,country,total_works,topic_1,topic_2,topic_3
0,US,4450,0.9968592830390587,0.00040663456393793455,0.002734082397003743
1,JP,1955,0.99814882474729,0.00032882718304713183,0.0015223480696626467
2,GB,1445,0.9986900642609984,0.00011534025374855821,0.0011945954852529241
3,CA,947,0.9967365615728869,0.00035198873636043635,0.0029114496907527514
4,FR,380,0.9981578947368421,0.00043859649122807,0.0014035087719298242
5,KR,288,0.9994212962962964,0.0,0.0005787037037037035
6,AU,286,0.9987179487179487,0.0,0.0012820512820512818
7,DE,159,1.0,0.0,0.0
8,CN,145,1.0,0.0,0.0
9,ES,118,0.998587570621469,0.0,0.0014124293785310728
