,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0,US,4450,0.23074271669760876,0.09744159320897837,0.45157874250282065,0.09709862470268482,0.06711353884097856,0.025981693369483357,0.030043090677444928
1,JP,1955,0.20001823532009338,0.028330768438462016,0.3902036720358357,0.1400685314932136,0.12950860081809,0.10262145712909045,0.00924873476521546
2,GB,1445,0.2299698710063399,0.11831343217155264,0.4490346249580988,0.08503718088038192,0.05549862828799736,0.02088012853894346,0.0412661341566865
3,CA,947,0.21594212849943983,0.09229352558923481,0.4161132329188697,0.12410388915306056,0.09001392119433868,0.03932562088664677,0.02220768175840998
4,FR,380,0.20426230408325416,0.059012318042078765,0.40574447085934073,0.15368540496586564,0.11223401589883361,0.04281332893506798,0.022248157215558725
5,KR,288,0.22061607917433232,0.03929042670605492,0.47335931215698845,0.10899557500529217,0.0748406031921093,0.031080555005016084,0.051817448760206525
6,AU,286,0.2198596752497399,0.14329808336137798,0.4176994956469803,0.09641009221305925,0.057537778658422106,0.02609513570905682,0.039099739161363625
7,DE,159,0.19980691317054694,0.12347050799880618,0.4264729758028904,0.10449474201912702,0.07742080298544399,0.02679578407023159,0.04153827395295349
8,CN,145,0.18105044224172218,0.044676599902848356,0.41612832606963845,0.10627496385682488,0.0664981446235937,0.031392135610440346,0.15397938769493197
9,ES,118,0.22444558125436143,0.06325140830657926,0.42447693948402815,0.14904342993532085,0.07854937088613843,0.03329441450092968,0.02693885563264184
