,country,total_works,topic_1,topic_2
0,US,4450,0.6823214592004295,0.31767854079957186
1,JP,1955,0.5902219073559289,0.4097780926440717
2,GB,1445,0.6790044959644401,0.32099550403556126
3,CA,947,0.6320553614183103,0.36794463858169074
4,FR,380,0.6100067749425948,0.38999322505740475
5,KR,288,0.6939753913313209,0.30602460866867914
6,AU,286,0.6375591708967195,0.36244082910328
7,DE,159,0.6262798889734378,0.3737201110265624
8,CN,145,0.5971787683113606,0.4028212316886396
9,ES,118,0.6489225207383895,0.3510774792616103
