,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,JP,237,0.05024552128820814,0.0714565093246206,0.06730744209973112,0.06669677998253244,0.033289812487779145,0.2274560464586755,0.07270964201343583,0.05831883336631359,0.040358235725996,0.04397345121586828,0.07652350074945706,0.0038624590681135365,0.08301423471239787,0.012738069819052612,0.013801056205120968,0.01091701775990828,0.029656085546286844,0.023584209942742795,0.014091092233758732
1,US,197,0.034032621027909396,0.059517575180481216,0.06508204781601383,0.08799868394576171,0.045230298106817314,0.23000160767405378,0.07251944308543541,0.056666401893641874,0.03160255932803026,0.04496019881412075,0.08007046001664754,0.007190558553675792,0.06896244172237251,0.02212240728267333,0.009847926695796382,0.01343598582661744,0.022451283713412245,0.03959763969107835,0.008709859625460108
2,CA,48,0.024563058938827976,0.06350214395197927,0.06847547813316947,0.10854170350968956,0.0493534000020961,0.2302956806203482,0.07253484749670568,0.05642620240427538,0.028636944004174613,0.04088478778138192,0.07165496868192267,0.0077243604003175,0.055596699401401765,0.030513595429953133,0.008908409545731239,0.01255021197041137,0.01965454295199495,0.04376917138404852,0.006413793391569825
3,GB,35,0.02986193958752131,0.056911449865413626,0.059600040083376375,0.10060000781288891,0.03562860479156967,0.23757872201728866,0.07311004393517302,0.04837849297985805,0.020670587998251617,0.035773506489932244,0.08985650134358086,0.004666235424104962,0.06876538469791661,0.03594827209463553,0.009623434564194,0.015105398887912225,0.02788191128636436,0.04311836398298006,0.006921102157036975
4,CN,17,0.03661534781471326,0.058703533181014345,0.05519220627848708,0.08820226061100404,0.03856117820583806,0.23768438899574046,0.07986167103577121,0.05834727724460757,0.02854911295760927,0.041992140603318455,0.08501550980897048,0.0050368155255996645,0.07436816086901663,0.02225063991816279,0.007399922274935348,0.013007593312385097,0.01965306853796814,0.04091541931860461,0.00864375350625269
5,SG,14,0.03324231310095421,0.056567302332677365,0.04849403806178021,0.09250598167461832,0.03762805724450472,0.24267410258065178,0.08400625970438591,0.05826324304419676,0.026981914945582157,0.04061950354632586,0.08721404859548307,0.004686751429343364,0.07724981960258429,0.02115722759546979,0.006517486769693293,0.01244215958264995,0.01904663253800157,0.04269935354051645,0.008003804110580128
6,DE,10,0.0233155701755964,0.04158055957460047,0.06516234579216654,0.11920879008555725,0.0447760450972921,0.2645132686905411,0.07393020400503085,0.05641518297570357,0.02370958079413262,0.031668907607628714,0.0793668678400564,0.00289407194666552,0.049142014392083946,0.03427605937916907,0.010555974790585431,0.011801913304999771,0.01911213093455951,0.04157509520108954,0.0069954174125404405
7,SE,9,0.021519601279956654,0.03908357481303973,0.07170708024002798,0.10894558833392463,0.05804510968180814,0.25166706041336445,0.05445207008130785,0.050990647061739065,0.021655698704489967,0.04779340400307315,0.07217014500918044,0.0125591756231642,0.055035746743223,0.034685263813280506,0.012503724592608388,0.012464270293576865,0.022119148530366145,0.04656110368754385,0.006041587094324144
8,FR,7,0.030259718821102066,0.06887060952920192,0.06007156940554561,0.12021959285667487,0.03546457153587274,0.24513029529563948,0.06905466751973326,0.04450640359831585,0.025233455864699172,0.03014397105585256,0.08275058931137291,0.004911347354393172,0.0563652416204276,0.03900113112582894,0.007691888517409143,0.010649065144932657,0.01999489180736996,0.04138707847728116,0.008293911158346157
9,FI,6,0.020606004447986784,0.0529476610407666,0.051900089708269516,0.1202634034395441,0.03425968333935386,0.25941039422628753,0.08006356864680313,0.042449483686411195,0.023987780448368468,0.0258013143194164,0.1055852566611344,0.00126675362178815,0.05885464972809045,0.046624892596047,0.0031499914644337497,0.011826455786786752,0.012704082949731967,0.04437095064813488,0.00392758324064435
