,country,total_works,topic_1,topic_2,topic_3,topic_4
0,JP,237,0.23384538602593422,0.4960269422484888,0.2274560464586755,0.04267162526690161
1,US,197,0.2399970079640421,0.4908170536603543,0.23000160767405378,0.039184330701549884
2,CA,48,0.2373755004924775,0.4967320435791441,0.2302956806203482,0.03559677530803006
3,GB,35,0.22888318623125511,0.49722192071820787,0.23757872201728866,0.03631617103324828
4,CN,17,0.2285369073562149,0.49969061902887146,0.23768438899574046,0.034088084619172954
5,SG,14,0.22137500251135503,0.5043006930157262,0.24267410258065178,0.03165020189226688
6,DE,10,0.21843338918946822,0.48480596466519926,0.2645132686905411,0.03224737745479126
7,SE,9,0.2523793297005187,0.45238485228244296,0.25166706041336445,0.04356875760367371
8,FR,7,0.2214848186880069,0.5018386738412723,0.24513029529563948,0.03154621217508124
9,FI,6,0.20835470874903964,0.5120641129110197,0.25941039422628753,0.020170784113653067
