,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143,topic_144,topic_145,topic_146,topic_147,topic_148,topic_149,topic_150,topic_151,topic_152,topic_153,topic_154,topic_155,topic_156,topic_157,topic_158,topic_159,topic_160,ENI,KL
1,1931.0,1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,0.0833333333333333,5.597981230844064,7.573890062131854
2,1933.0,1,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.074074074074074,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,0.037037037037037,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,0.074074074074074,1e-09,1e-09,1e-09,0.037037037037037,0.037037037037037,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,0.074074074074074,0.037037037037037,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,8.826271703614275,16.9059644051905
3,1934.0,1,1e-09,1e-09,0.0136986301369863,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0273972602739726,1e-09,1e-09,0.0136986301369863,1e-09,0.0410958904109589,0.0410958904109589,0.0273972602739726,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0410958904109589,1e-09,0.0136986301369863,1e-09,1e-09,0.0273972602739726,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,0.0136986301369863,1e-09,0.0136986301369863,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,0.0273972602739726,1e-09,1e-09,1e-09,1e-09,0.0273972602739726,0.0136986301369863,0.0136986301369863,1e-09,1e-09,0.0273972602739726,0.0136986301369863,0.0136986301369863,1e-09,1e-09,0.0136986301369863,0.0273972602739726,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,0.0136986301369863,1e-09,0.0136986301369863,0.0136986301369863,0.0136986301369863,1e-09,0.0136986301369863,0.0136986301369863,1e-09,1e-09,1e-09,0.0273972602739726,0.0273972602739726,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,0.0136986301369863,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,0.0273972602739726,1e-09,1e-09,1e-09,1e-09,0.0136986301369863,0.0136986301369863,1e-09,0.0136986301369863,0.0273972602739726,1e-09,1e-09,0.0273972602739726,0.0273972602739726,1e-09,1e-09,1e-09,0.0273972602739726,0.0136986301369863,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,0.0136986301369863,1e-09,1e-09,1e-09,1e-09,1e-09,14.816670828882488,11.047578453149665
4,1939.0,1,1e-09,1e-09,0.0294117647058823,0.0147058823529411,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,0.0294117647058823,0.0294117647058823,1e-09,0.0294117647058823,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,0.0294117647058823,1e-09,0.0294117647058823,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,0.0294117647058823,0.0294117647058823,0.0294117647058823,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,0.0441176470588235,0.0147058823529411,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,0.0147058823529411,0.0147058823529411,1e-09,0.0147058823529411,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0294117647058823,0.0147058823529411,0.0147058823529411,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0147058823529411,0.0147058823529411,1e-09,1e-09,1e-09,0.1029411764705882,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,0.0147058823529411,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,0.0147058823529411,1e-09,1e-09,1e-09,1e-09,1e-09,12.50591166980614,5.482846259468486
5,1943.0,1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0689655172413793,1e-09,1e-09,1e-09,1e-09,0.0689655172413793,1e-09,0.0689655172413793,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0689655172413793,1e-09,1e-09,1e-09,0.0344827586206896,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0689655172413793,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,0.0344827586206896,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,0.0344827586206896,1e-09,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,8.743916116734985,7.007273056427012
6,1947.0,2,1e-09,1e-09,0.0172413793103448,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,0.0086206896551724,0.0086206896551724,1e-09,0.0258620689655172,0.0172413793103448,0.0172413793103448,0.0172413793103448,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,0.0172413793103448,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0258620689655172,1e-09,1e-09,1e-09,0.0172413793103448,0.1197318007662835,1e-09,1e-09,0.0086206896551724,0.0086206896551724,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,0.0172413793103448,1e-09,0.0172413793103448,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,0.0086206896551724,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,0.0172413793103448,0.0344827586206896,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,0.0172413793103448,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,0.0086206896551724,1e-09,0.0641762452107279,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,0.1111111111111111,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,1e-09,1e-09,1e-09,1e-09,0.0086206896551724,0.0086206896551724,0.0086206896551724,1e-09,0.0555555555555555,1e-09,0.0555555555555555,0.0641762452107279,1e-09,1e-09,1e-09,0.0641762452107279,10.104099232872459,13.626656481159984
7,1948.0,1,1e-09,1e-09,0.0444444444444444,1e-09,1e-09,1e-09,1e-09,1e-09,0.0444444444444444,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,0.0666666666666666,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,0.0222222222222222,0.0222222222222222,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0666666666666666,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,0.0222222222222222,0.0444444444444444,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,0.0222222222222222,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0444444444444444,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0444444444444444,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,0.0444444444444444,1e-09,1e-09,0.0444444444444444,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0222222222222222,1e-09,1e-09,0.0222222222222222,0.0222222222222222,1e-09,0.0222222222222222,0.0222222222222222,1e-09,1e-09,1e-09,0.0222222222222222,10.887003805108131,6.770653488622203
8,1949.0,2,1e-09,1e-09,0.0172413793103448,1e-09,1e-09,0.0108695652173913,0.0453523238380809,1e-09,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,0.0108695652173913,1e-09,1e-09,1e-09,0.0172413793103448,1e-09,0.0217391304347826,1e-09,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,0.0217391304347826,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,0.0217391304347826,0.0281109445277361,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0217391304347826,1e-09,0.0798350824587705,0.0172413793103448,0.0172413793103448,0.0172413793103448,1e-09,1e-09,1e-09,0.0562218890554722,1e-09,1e-09,0.0108695652173913,0.0172413793103448,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,1e-09,0.0108695652173913,1e-09,0.0172413793103448,1e-09,0.0108695652173913,0.0172413793103448,1e-09,0.0326086956521739,0.0108695652173913,1e-09,0.0108695652173913,1e-09,1e-09,0.0172413793103448,0.0389805097451274,0.0281109445277361,0.0172413793103448,0.0217391304347826,1e-09,1e-09,1e-09,1e-09,0.0453523238380809,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,1e-09,0.0108695652173913,1e-09,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,1e-09,0.0217391304347826,1e-09,0.0172413793103448,1e-09,0.0172413793103448,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,1e-09,0.0344827586206896,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,0.0108695652173913,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0172413793103448,0.0108695652173913,1e-09,0.0281109445277361,0.0108695652173913,13.373181131043358,10.17323378413624
9,1950.0,9,1e-09,1e-09,0.0150829562594268,0.0293261749144101,1e-09,0.005050505050505,0.0139324277255311,1e-09,0.0093849505614211,1e-09,0.0084045584045584,0.005050505050505,0.0120128298232873,0.003831417624521,0.003831417624521,1e-09,0.0032679738562091,0.0143004115226337,0.0046296296296296,1e-09,0.003831417624521,0.0055555555555555,1e-09,1e-09,0.005050505050505,0.0093869731800766,0.0181318291471548,1e-09,0.0139324277255311,1e-09,0.0041152263374485,1e-09,1e-09,1e-09,0.005050505050505,1e-09,0.0079365079365079,0.0088819226750261,1e-09,1e-09,0.003831417624521,1e-09,1e-09,0.0046296296296296,0.003831417624521,1e-09,0.0166666666666666,1e-09,0.0046296296296296,0.0055555555555555,1e-09,0.0172825540472599,1e-09,0.0079365079365079,1e-09,0.005050505050505,0.0088235294117647,0.0166666666666666,0.0149405061169766,1e-09,0.0366711356907435,0.011767925561029,1e-09,0.005050505050505,0.0213896669779022,0.0296321600919301,0.0046296296296296,0.0096801346801346,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0065359477124183,0.0028490028490028,0.003831417624521,1e-09,0.0084610472541506,1e-09,0.0055555555555555,0.0304771856495994,1e-09,0.0069642291864514,0.005050505050505,1e-09,0.0162234884457106,0.0055555555555555,0.0148148148148148,0.0055555555555555,0.0055555555555555,0.0228790366721401,0.0267084316780056,0.0262107872261128,0.0120128298232873,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0046296296296296,0.0219531107462141,0.0056980056980056,1e-09,0.0028490028490028,1e-09,0.0106060606060606,0.0028490028490028,0.0041152263374485,0.0159302087406662,0.003831417624521,1e-09,1e-09,0.0046296296296296,1e-09,1e-09,0.0032679738562091,0.0194295900178253,1e-09,1e-09,1e-09,0.005050505050505,0.0079365079365079,1e-09,0.0041152263374485,1e-09,1e-09,0.0186367614472189,0.0032679738562091,0.0243912559948169,0.0250079138968027,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.003831417624521,0.0028490028490028,0.0107855107855107,1e-09,1e-09,1e-09,0.0028490028490028,0.0272727272727272,0.0093869731800766,1e-09,0.0111111111111111,0.0184943113047688,0.0290114146323296,1e-09,0.0070993914807302,0.0046296296296296,0.0125661375661375,1e-09,0.0088819226750261,0.0191511257546867,19.344798649539012,8.178523168941037
10,1951.0,8,0.0011520737327188,1e-09,0.0282432621142298,0.0008640552995391,0.0362903225806451,0.0099034030485643,0.0008640552995391,0.0005760368663594,0.0120574989526602,0.0107674583481035,0.0014400921658986,1e-09,0.0095046082949308,0.0136083674390125,0.0011520737327188,0.0043202764976958,0.0371991919370951,0.0034365835777126,1e-09,0.0011520737327188,1e-09,0.0017084729786342,0.0005760368663594,0.0002880184331797,0.0005760368663594,0.0002880184331797,0.0119195320808224,0.0022845098449937,0.0099034030485643,0.0022845098449937,0.0002880184331797,0.0034169459572685,1e-09,1e-09,0.0037246020108923,1e-09,0.0017084729786342,0.0002880184331797,0.010191421481744,0.0002880184331797,0.004012620444072,0.0002880184331797,1e-09,0.0005760368663594,0.0005760368663594,0.0099034030485643,1e-09,0.0031289275240888,0.0122075505140021,0.0178571428571428,0.0008640552995391,0.0228967381185122,1e-09,0.0045690196899874,1e-09,0.0069444444444444,0.0005760368663594,0.0014204545454545,0.0167372949631014,1e-09,0.0068535295349811,0.0085227272727272,1e-09,1e-09,0.01364814620863,0.0005760368663594,0.0011520737327188,1e-09,0.0025725282781734,0.0045690196899874,1e-09,0.0014400921658986,0.0005760368663594,1e-09,1e-09,0.0025725282781734,0.0028605467113531,0.0025725282781734,0.0005760368663594,1e-09,0.0002880184331797,0.0182879396589073,1e-09,0.0002880184331797,1e-09,0.0113434952144629,0.0203828429634881,0.0005760368663594,0.0209002467066983,0.0019964914118139,0.0002880184331797,0.0031682027649769,1e-09,0.004837400502723,0.0022845098449937,0.0057014558022622,0.0154940825303728,0.012187912893558,0.0005760368663594,0.0089409358562584,1e-09,0.0031485651445328,0.0002880184331797,1e-09,0.0089409358562584,0.0120574989526602,0.0002880184331797,0.0002880184331797,0.0017084729786342,0.0022845098449937,0.0099034030485643,0.0123455173858399,0.0168478474930087,1e-09,0.0122276916631755,0.0017281105990783,0.0002880184331797,0.0028801843317972,0.0011520737327188,0.0011520737327188,0.002016129032258,1e-09,0.0031485651445328,1e-09,1e-09,0.0017084729786342,0.0008640552995391,0.0008640552995391,0.015186426476749,0.0097926267281105,0.0173727482195224,0.0025725282781734,0.0981070900425738,0.0262467707024158,0.0011520737327188,1e-09,1e-09,1e-09,0.0014400921658986,1e-09,1e-09,0.0011520737327188,0.0011520737327188,0.0109447004608294,1e-09,0.0273617511520737,0.0017084729786342,1e-09,0.0096153846153846,0.0104794399149237,1e-09,0.02054044745577,0.0495304426756039,0.0096153846153846,0.0017281105990783,0.0128037285295349,1e-09,0.0282061688311688,1e-09,0.0463045019496632,16.695739757130447,4.933679127485165
