,year,total_works,topic_1,topic_2,topic_3,ENI,KL
1,1931.0,1,1.0,1e-09,1e-09,1.0,0.0
2,1933.0,1,1.0,1e-09,1e-09,1.0,0.0
3,1934.0,1,1.0,1e-09,1e-09,1.0,0.0
4,1939.0,1,1.0,1e-09,1e-09,1.0,0.0
5,1943.0,1,1.0,1e-09,1e-09,1.0,0.0
6,1947.0,2,1.0,1e-09,1e-09,1.0,0.0
7,1948.0,1,1.0,1e-09,1e-09,1.0,0.0
8,1949.0,2,1.0,1e-09,1e-09,1.0,0.0
9,1950.0,9,1.0,1e-09,1e-09,1.0,0.0
10,1951.0,8,1.0,1e-09,1e-09,1.0,0.0
11,1952.0,10,1.0,1e-09,1e-09,1.0,0.0
12,1953.0,4,1.0,1e-09,1e-09,1.0,0.0
13,1954.0,8,1.0,1e-09,1e-09,1.0,0.0
14,1955.0,12,1.0,1e-09,1e-09,1.0,0.0
15,1956.0,10,1.0,1e-09,1e-09,1.0,0.0
16,1957.0,18,1.0,1e-09,1e-09,1.0,0.0
17,1958.0,20,1.0,1e-09,1e-09,1.0,0.0
18,1959.0,20,0.9916666666666666,1e-09,0.0083333333333333,1.0339699651858578,0.12449960407027415
19,1960.0,15,0.977777777777778,1e-09,0.0222222222222222,1.0766624088232517,0.008005035125859023
20,1961.0,27,0.9907407407407408,1e-09,0.0092592592592592,1.037110291925984,0.004942322439028198
21,1962.0,18,1.0,1e-09,1e-09,1.0,0.0093023756025739
22,1963.0,17,1.0,1e-09,1e-09,1.0,0.0
23,1964.0,31,0.989247311827957,0.0053763440860215,0.0053763440860215,1.047452988072814,0.15594532330801478
24,1965.0,40,1.0,1e-09,1e-09,1.0,0.010810883087555267
25,1966.0,42,0.9853174603174604,1e-09,0.0146825396825396,1.0544938149990648,0.2277195405650768
26,1967.0,34,0.9877450980392156,1e-09,0.0122549019607843,1.046899887957996,0.00021576076695285166
27,1968.0,29,1.0,1e-09,1e-09,1.0,0.012330595111380857
28,1969.0,35,0.9904761904761906,0.0047619047619047,0.0047619047619047,1.0427571084033282,0.1369612915290389
29,1970.0,29,0.9942528735632185,0.0057471264367816,1e-09,1.0248269521711666,0.004864617764375059
30,1971.0,41,0.9959349593495936,1e-09,0.0040650406504065,1.0184930697508037,0.0635450137895089
31,1972.0,59,1.0,1e-09,1e-09,1.0,0.004073309161554652
32,1973.0,51,1.0,1e-09,1e-09,1.0,0.0
33,1974.0,46,0.996376811594203,1e-09,0.0036231884057971,1.016760851327066,0.051103909489911135
34,1975.0,50,0.99,0.0066666666666666,0.0033333333333333,1.0441772822791746,0.09811657046430959
35,1976.0,58,1.0,1e-09,1e-09,1.0,0.010050303101286562
36,1977.0,50,0.9866666666666668,0.0033333333333333,0.0099999999999999,1.0557793522888101,0.19800185632283646
37,1978.0,51,0.9934640522875818,0.0032679738562091,0.0032679738562091,1.030913720017183,0.0031010812799931987
38,1979.0,62,1.0,1e-09,1e-09,1.0,0.006557368533682637
39,1980.0,44,0.984090909090909,0.0037878787878787,0.0121212121212121,1.0646589447907233,0.23929697380518086
40,1981.0,61,1.0,1e-09,1e-09,1.0,0.01603696541995849
41,1982.0,56,0.9970238095238096,1e-09,0.0029761904761904,1.014159514593032,0.041391799323806745
42,1983.0,84,1.0,1e-09,1e-09,1.0,0.0029806122260216403
43,1984.0,76,1.0,1e-09,1e-09,1.0,0.0
44,1985.0,83,0.997991967871486,0.002008032128514,1e-09,1.0100852775175584,0.027135885407991472
45,1986.0,76,0.9978070175438596,1e-09,0.0021929824561403,1.010883747373424,0.03183429136190237
46,1987.0,98,0.9962585034013606,1e-09,0.0037414965986394,1.0172279302714369,0.0004514824301459579
47,1988.0,75,0.9914285714285714,1e-09,0.0085714285714285,1.0347833653697174,0.002287069675397631
48,1989.0,90,0.9944444444444444,0.0018518518518518,0.0037037037037037,1.026636917150647,0.026638038862256228
49,1990.0,93,0.9982078853046594,1e-09,0.0017921146953405,1.0091387047342393,0.0024695753942758202
50,1991.0,101,0.9969354078264968,0.0016501650165016,0.0014144271570014,1.0160084498758248,0.022017979128766716
51,1992.0,98,0.9965986394557822,0.0017006802721088,0.0017006802721088,1.0175397236112187,2.801089091193621e-05
52,1993.0,123,0.9959349593495936,1e-09,0.0040650406504065,1.0184930697508037,0.0028787833529848273
53,1994.0,127,0.998875140607424,1e-09,0.0011248593925759,1.0060919272755082,0.0014993362024812332
54,1995.0,134,0.9975124378109452,1e-09,0.0024875621890547,1.0121344959632688,0.0006124688098782115
55,1996.0,154,0.9969078540507114,1e-09,0.0030921459492888,1.0146319751702073,6.833338773186556e-05
56,1997.0,158,0.9981916817359856,1e-09,0.0018083182640144,1.0092103166774824,0.00031454901245715793
57,1998.0,172,0.999031007751938,1e-09,0.000968992248062,1.0053463490824082,0.00023512845520461232
58,1999.0,205,0.9983739837398375,1e-09,0.0016260162601626,1.0083988344643737,0.00018486961030456236
59,2000.0,173,0.9954582989265072,1e-09,0.0045417010734929,1.0203268434934754,0.001753669675551781
60,2001.0,197,0.997582789460962,0.0007251631617113,0.0016920473773265,1.0128741352531077,0.010241554946890746
61,2002.0,204,0.9973856209150328,1e-09,0.0026143790849673,1.0126656787119224,0.0009403197500187602
62,2003.0,215,0.9967441860465116,1e-09,0.0032558139534883,1.0152940158613497,7.31480706853303e-05
63,2004.0,224,0.9963860544217686,0.0007440476190476,0.0028698979591836,1.0180200466764515,0.009339270535473466
64,2005.0,271,0.9981549815498156,0.0006150061500615,0.001230012300123,1.0101941397444754,0.0006112237446091004
65,2006.0,276,0.9977570738440302,1e-09,0.0022429261559696,1.011097554094322,0.0009496112415758854
66,2007.0,286,0.9988344988344988,1e-09,0.0011655011655011,1.0062838544233768,0.0003150343010635627
67,2008.0,275,0.9953333333333332,0.0012121212121212,0.0034545454545454,1.0226951797722608,0.017237731175607927
68,2009.0,307,0.9979060027919964,1e-09,0.0020939972080037,1.0104577521371692,0.0015276876862560483
69,2010.0,295,0.9972558514931396,1e-09,0.0027441485068603,1.0132050328014595,9.206745539084898e-05
70,2011.0,363,0.998688180506362,1e-09,0.0013118194936376,1.0069671636863307,0.0004651612338307607
71,2012.0,320,0.9984375000000002,0.0010416666666666,0.0005208333333333,1.0088081779318727,0.013701916967765087
72,2013.0,343,0.9956962376787448,1e-09,0.004303762321255,1.0194157359871936,0.006351238303731074
73,2014.0,327,0.9978593272171252,0.000611620795107,0.0015290519877675,1.0115565775803776,0.008732266304250757
74,2015.0,354,0.9981167608286252,0.0004708097928436,0.001412429378531,1.0102815135388707,2.221798066820644e-05
75,2016.0,321,0.996884735202492,1e-09,0.0031152647975077,1.014725828686458,0.0012329047079364106
76,2017.0,355,0.9988732394366198,1e-09,0.0011267605633802,1.0061009271429282,0.0008446074102649191
77,2018.0,328,0.9988821138211382,0.0005081300813008,0.0006097560975609,1.0065961621709645,0.0063105223548200065
78,2019.0,317,0.9969205347754244,0.0005257623554153,0.0025537028691602,1.0155707274733594,0.0017158000496321384
79,2020.0,317,0.9964698813279256,0.0030043563166591,0.0005257623554153,1.0174388651359583,0.003955007955109701
80,2021.0,274,0.9992700729927008,1e-09,0.0007299270072992,1.0041686614525098,0.0030435920567748274
