,year,total_works,topic_1,topic_2,ENI,KL
1,1986.0,1,1.0,1e-09,1.0,0.07410795299540522
2,1987.0,3,1.0,1e-09,1.0,0.0
3,1988.0,3,1.0,1e-09,1.0,0.0
4,1990.0,4,1.0,1e-09,1.0,0.0
5,1991.0,5,1.0,1e-09,1.0,0.0
6,1992.0,5,1.0,1e-09,1.0,0.0
7,1993.0,1,1.0,1e-09,1.0,0.0
8,1994.0,7,1.0,1e-09,1.0,0.0
9,1995.0,6,1.0,1e-09,1.0,0.0
10,1996.0,8,1.0,1e-09,1.0,0.0
11,1997.0,8,1.0,1e-09,1.0,0.0
12,1998.0,12,1.0,1e-09,1.0,0.0
13,1999.0,10,1.0,1e-09,1.0,0.0
14,2000.0,13,1.0,1e-09,1.0,0.0
15,2001.0,15,1.0,1e-09,1.0,0.0
16,2002.0,14,1.0,1e-09,1.0,0.0
17,2003.0,16,1.0,1e-09,1.0,0.0
18,2004.0,15,1.0,1e-09,1.0,0.0
19,2005.0,11,1.0,1e-09,1.0,0.0
20,2006.0,17,1.0,1e-09,1.0,0.0
21,2007.0,19,1.0,1e-09,1.0,0.0
22,2008.0,22,1.0,1e-09,1.0,0.0
23,2009.0,24,1.0,1e-09,1.0,0.0
24,2010.0,30,1.0,1e-09,1.0,0.0
25,2011.0,24,1.0,1e-09,1.0,0.0
26,2012.0,28,1.0,1e-09,1.0,0.0
27,2013.0,22,0.9935064935064936,0.0064935064935064,1.0275295345965354,0.09538679994993463
28,2014.0,24,1.0,1e-09,1.0,0.006514664328365754
29,2015.0,18,1.0,1e-09,1.0,0.0
30,2016.0,23,1.0,1e-09,1.0,0.0
31,2017.0,21,1.0,1e-09,1.0,0.0
32,2018.0,10,1.0,1e-09,1.0,0.0
33,2019.0,15,0.9888888888888888,0.0111111111111111,1.0432226065020542,0.16921147225981106
34,2020.0,10,1.0,1e-09,1.0,0.011173283363495556
35,2021.0,4,1.0,1e-09,1.0,0.0
