,year,kl_mean,kl_std
0,1986,1.2267184610373056,1.2742541063856843
1,1987,0.0,0.0
2,1988,0.0,0.0
3,1990,0.0,0.0
4,1991,0.0,0.0
5,1992,0.0,0.0
6,1993,0.0,0.0
7,1994,0.0,0.0
8,1995,0.0,0.0
9,1996,0.0,0.0
10,1997,0.0,0.0
11,1998,0.0,0.0
12,1999,0.0,0.0
13,2000,0.0,0.0
14,2001,0.0,0.0
15,2002,0.0,0.0
16,2003,0.0,0.0
17,2004,0.0,0.0
18,2005,0.0,0.0
19,2006,0.0,0.0
20,2007,0.0,0.0
21,2008,0.0,0.0
22,2009,0.0,0.0
23,2010,0.0,0.0
24,2011,0.0,0.0
25,2012,0.0,0.0
26,2013,0.007861683654683342,0.03391279483284689
27,2014,0.10966505992641196,0.5173566328273842
28,2015,0.0,0.0
29,2016,0.0,0.0
30,2017,0.0,0.0
31,2018,0.0,0.0
32,2019,0.013856436787689611,0.0483148632161095
33,2020,0.19521556805560977,0.7403951682980513
34,2021,0.0,0.0
